"inputs","C","Mn","S","P","Si","Ni","Cr","Cu","Mo","Al","V","B","Nb","Ti","Fe","impurity","yield"
"MS Shredded Scrap","0.6","0.2","0.033","0.048","0.25","0.1","0","0.15","0","0","0","0","0","0","98.62","","95%"
"HMS 80:20","0.6","0.2","0.033","0.048","0.25","0.1","0","0.15","0","0","0","0","0","0","98.62","","94%"
"LMS Bundles","0.6","0.12","0.033","0.04","0.25","0.1","0","0.15","0","0","0","0","0","0","98.71","","93%"
"Auto Bundles","1.18","0.25","0.04","0.045","0.25","0.04","0","0.04","0","0","0","0","0","0","98.16","","96%"
"MS Turning (Imp)","0.4","0.2","0.04","0.04","0.25","0.3","0","0.03","0","0","0","0","0","0","98.74","","92%"
"Sponge Iron (G Base)","2","0","0.015","0.06","0","0","0","0","0","0","0","0","0","0","97.92","","84%"
"Sponge Iron (Coal based)","0.5","0","0.015","0.06","0","0","0","0","0","0","0","0","0","0","99.42","","82%"
"Alloyed Briquettes/Turnings","0.2","0.2","0.02","0.045","0.25","0","12","0","0","0","0","0","0","0","87.28","","90%"
"HC FeCr - fine (0-3 mm)","7","0","0.05","0.03","4","0","60","0","0","0","0","0","0","0","28.92","","82%"
"HC FeCr - chips (3-10 mm)","7","0","0.05","0.042","4","0","60","0","0","0","0","0","0","0","28.91","","85%"
"HC FeCr LP 60%","7","0","0.05","0.02","4","0","60","0","0","0","0","0","0","0","28.93","","87%"
"HC FeCr HP 60%","7","0","0.05","0.042","4","0","60","0","0","0","0","0","0","0","28.91","","87%"
"LCFeCr 65%","0.1","0","0.03","0.042","2","0","65","0","0","0","0","0","0","0","32.83","","99%"
"HC FeMn MP (P=0.15%)","7","70","0.05","0.15","1","0","0","0","0","0","0","0","0","0","21.80","","86%"
"HC FeMn HP (P=0.3%)","7","70","0.05","0.2","1","0","0","0","0","0","0","0","0","0","21.75","","89%"
"LC SiMn","0.3","55","0.05","0.15","24","0","0","0","0","0","0","0","0","0","20.50","","76%"
"MC SiMn","0.5","55","0.05","0.15","24","0","0","0","0","0","0","0","0","0","20.30","","76%"
"FeSi 70%","0.1","0","0","0.04","70","0","0","0","0","1","0","0","0","0","28.86","","40%"
"HC FeSi Fines (0-3 mm)","2","0","0.05","0.04","61.75","0","0","0","0","3","0","0","0","0","33.16","","42%"
"Cu-Pure","0","0","0","0","0","0","0","100","0","0","0","","0","0","0.00","","100%"
"Ni-Pure","0","0","0","0","0","99.5","0","0","0","0","0","0","0","0","0.00","0.5","100%"
"Ni Pig Iron ","1.25","0","0.05","0.09","4.5","13","0","0","0","0","0","0","0","0","81.11","","83%"
"HC FeNi","2","0","0.05","0.025","1","13","0","0","0","0","0","","0","0","83.92","","97%"
"LC FeNi","2","0","0.05","0.025","1","18","0","0","0","0","0","0","0","0","78.92","","97%"
"Mn metal","0.05","97","0.05","0.08","1","0","0","0","0","0","0","0","0","0","0.00","1.82","97%"
"Fe Vanadium","0.05","0","0","0","0","0","0","0","0","0","50","0","0","0","49.95","","99%"
"Fe Moly","0.04","0","0","0.03","1.26","0","0","0","60","0","0","0","0","0","38.67","","99%"
"Mo Oxide","0.03","0","0.005","0.03","1.41","0","0","0","60","0","0","0","0","0","0.00","38.52","60%"
"Aluminium Bar","0","0","0","0","0","0","0","0","0","99.5","0","0","0","0","0.00","0.5","90%"
"Fe Al","0","0","0","0","0","0","0","0","0","35","0","0","0","0","65.00","","65%"
"Fe Boron","0","0","0","0","0","0","0","0","0","0","0","15","0","0","85.00","","99%"
"Ca Mo","0.15","0","0.12","0.03","0","0","0","0","40","0","0","0","0","0","0.00","59.7","40%"
"FeTi (30-32%)","0.08","0","0.01","0.05","4","0","0","0","0","8","0","0","0","30","57.86","","86%"
"Ti cored Wire (98%)","0.02","0","0","0","0.02","0","0","0","0","0.1","0","0","0","98","0.00","1.86","60%"
"FeSi 75% (Imp)","0.1","0","0","0.04","75","0","0","0","0","1","0","0","0","0","23.86","","35%"
"Ti cored Wire (70%)","0.13","0","0","0","4","0","0","0","0","2","0","0","0","70","0.00","23.87","96%"
